Index,Experiment_description,Warning,Replicate_1,Replicate_2,Replicate_3,Read_Depth,Peak_Number,Histone_Modification,Cell_Line,Experiment,Lab
H3K4me1_K562_E1,"Histone ChIP-seq in K562
Homo sapiens K562
Target: H3K4me1
Lab: Peggy Farnham, USC
Project: ENCODE
Experiment Series: ENCSR730LLQ",Insufficient read depth; Control insufficient read depth,6656715,17449919,,12053317,,,,,"Peggy Farnham, USC"
H3K4me1_K562_E2,"Histone ChIP-seq in K562
Homo sapiens K562
Target: H3K4me1
Lab: Bradley Bernstein, Broad
Project: ENCODE
Reference Epigenome: ENCSR532GIR, ENCSR612NLL
Experiment Series: ENCSR730LLQ",Insufficient read depth; Control insufficient read depth,9397237,8138614,52910769,23482206.67,,,,,"Bradley Bernstein, Broad"
H3K4me1_A549_E1,"Histone ChIP-seq in A549
Homo sapiens A549
Target: H3K4me1
Lab: Tim Reddy, Duke
Project: GGR
Treatment Time Series: ENCSR180FFI",,37532109,33974840,29478870,33661939.67,,,,,"Tim Reddy, Duke"
H3K4me1_A549_E2,"Histone ChIP-seq in A549
Homo sapiens A549 treated with 0.02% ethanol for 1 hour
Target: H3K4me1
Lab: Bradley Bernstein, Broad
Project: ENCODE
Treatment: 0.02 percent ethanol (CHEBI:16236) for 1 hour
Reference Epigenome: ENCSR706RZK, ENCSR797CXN",,63712790,11267446,,37490118,,,,,"Bradley Bernstein, Broad"
H3K4me3_K562_E1,"Histone ChIP-seq in K562
Homo sapiens K562
Target: H3K4me3
Lab: Bradley Bernstein, Broad
Project: ENCODE
Reference Epigenome: ENCSR612NLL
Experiment Series: ENCSR064CWP",,28163254,26717178,,27440216,,,,,"Bradley Bernstein, Broad"
H3K4me3_K562_E2,"Histone ChIP-seq in K562
Homo sapiens K562
Target: H3K4me3
Lab: Peggy Farnham, USC
Project: ENCODE
Experiment Series: ENCSR064CWP",,11131721,17482549,,14307135,,,,,"Peggy Farnham, USC"
H3K4me3_K562_E3,"Histone ChIP-seq in K562
Homo sapiens K562
Target: H3K4me3
Lab: John Stamatoyannopoulos, UW
Project: ENCODE
Experiment Series: ENCSR064CWP
candidate Cis-Regulatory Elements (cCREs): SCREEN",,13676488,12527720,,13102104,,,,,"Stamatoyannopoulos, UW"
H3K4me3_K562_E4,"Histone ChIP-seq in K562
Homo sapiens K562
Target: H3K4me3
Lab: Bradley Bernstein, Broad
Project: ENCODE
Reference Epigenome: ENCSR532GIR
Experiment Series: ENCSR064CWP", Insufficient read depth,6873902,11454698,,12601251,,,,,"Bradley Bernstein, Broad"
H3K4me3_A549_E1,"Histone ChIP-seq in A549
Homo sapiens A549
Target: H3K4me3
Lab: Tim Reddy, Duke
Project: GGR
Treatment Time Series: ENCSR342NKR",,38415792,26481258,28130612,31009220.67,,,,,"Tim Reddy, Duke"
H3K4me3_A549_E2,"Histone ChIP-seq in A549
Homo sapiens A549
Target: H3K4me3
Lab: John Stamatoyannopoulos, UW
Project: ENCODE
Reference Epigenome: ENCSR809EFN
candidate Cis-Regulatory Elements (cCREs): SCREEN",,13591011,12766478,,13178744.5,,,,,"John Stamatoyannopoulos, UW"
