CellLine_Modif_Exp,Precision,Recall,CellLine,PeakN_Ratio
K562_H3K4me1_E1_E2,40.28,45.69,K562,1.182957
K562_H3K4me3_E1_E2,86.3,91.41,K562,0.914145
K562_H3K4me3_E1_E3,89.51,81.44,K562,0.715746
K562_H3K4me3_E2_E3,89.98,74.42,K562,0.782968
K562_H3K9ac_E1_E2,31.31,72.95,K562,3.150136
K562_H3K27me3_E1_E2,41.24,73.26,K562,1.210955
K562_H3K36me3_E1_E2,50.49,33.22,K562,0.458468
A549_H3K4me1_E1_E2,85.77,70.7,A549,0.95572
A549_H3K4me3_E1_E2,88.9,86.27,A549,0.857125
A549_H3K27ac_E1_E2,55.14,90.52,A549,1.593012
A549_H3K27me3_E1_E2,81.85,52.29,A549,0.812425
A549_H3K36me3_E1_E2,37.92,97.09,A549,1.487854
