"","H3K27ac_K562_E1_IRpseudo12","H3K27ac_K562_E1_IRpseudo1","H3K27ac_K562_E1_IRpseudo2","H3K27ac_K562_E1_IR12","H3K27ac_A549_E1_IRpseudo123","H3K27ac_A549_E1_IRpseudo1","H3K27ac_A549_E1_IRpseudo2","H3K27ac_A549_E1_IRpseudo3","H3K27ac_A549_E1_IR123","H3K27ac_A549_E2_IRpseudo123","H3K27ac_A549_E2_IRpseudo1","H3K27ac_A549_E2_IRpseudo2","H3K27ac_A549_E2_IRpseudo3","H3K27ac_A549_E2_IR123","H3K27ac_A549_E3_IRpseudo12","H3K27ac_A549_E3_IRpseudo1","H3K27ac_A549_E3_IRpseudo2","H3K27ac_A549_E3_IR12","H3K27ac_A549_E4_IRpseudo12","H3K27ac_A549_E4_IRpseudo1","H3K27ac_A549_E4_IRpseudo2","H3K27ac_A549_E4_IR12"
"H3K27ac_K562_E1_IRpseudo12",100,85.5618097890657,61.8312136026333,77.7009524180511,57.3359562160372,53.3977367898253,53.892448824572,51.0118224490193,55.1584441890813,48.3376507021405,45.817346084179,44.2027150731356,43.4411701692538,46.351011822449,44.8142882184524,44.6195197008356,35.1284498373683,41.0805757357381,45.2583604386187,44.8688234033851,31.0850554116433,38.1551526011336
"H3K27ac_K562_E1_IRpseudo1",85.3774997504409,100,57.8278374871061,72.9294912321565,55.67663793964,51.8750207965927,52.2693241939241,49.3544737630187,53.6036335806741,46.5477656140818,44.0521744917313,42.5248727248528,41.6397697401258,44.7476125511596,43.4066482547499,43.1654077795894,33.672179150168,40.0991581539281,43.6212690912721,43.1853725085682,29.7125079027052,37.3689814660766
"H3K27ac_K562_E1_IRpseudo2",92.8650036683786,84.35960591133,100,91.8666806414422,62.6506655486846,59.3831883450372,59.9701289173043,57.5699612199979,60.9632114034168,55.4737448904727,53.2360339587045,51.8918352373965,51.0297662718793,53.8334556126192,52.9242217796877,52.8482339377424,42.7837752856095,49.3894769940258,53.5373650560738,53.3958704538308,38.0934912482968,46.5831673828739
"H3K27ac_K562_E1_IR12",89.242332729347,81.2406326197347,69.6194886249245,100,59.1884213587455,55.5577925418876,55.9470281636579,53.311858264546,57.1348679059571,50.822092477015,48.4419390197526,46.8447307786949,46.198241728743,48.9452609444556,47.4285842113505,47.4218732523544,37.4337292799141,43.5921526519473,48.2965349081717,48.0773102476344,33.0962127821399,40.719862201642
"H3K27ac_A549_E1_IRpseudo123",17.0138648046673,17.0701255462301,13.3931392723097,15.7560904179479,100,69.0080383497877,67.6238699683244,55.3274298089447,75.849498662844,48.9830678288749,41.6391143172027,36.4492535818054,34.6142285727498,41.6098279037864,37.1860380877513,34.3475680716438,28.1211224403289,32.8793939253813,33.0574244911486,30.1619230383883,23.9347067119835,25.2418055844566
"H3K27ac_A549_E1_IRpseudo1",20.5119996895796,20.6439283704868,16.4144500708147,19.1112275187707,97.2285276371185,100,81.5843082474827,71.7759928603302,87.0632287604524,62.3236908988612,52.3931474691035,48.7786896377782,47.1062995945133,54.5670605125817,48.5846768717382,45.2913101682091,37.3736491861164,43.5820576993966,43.0174805502202,38.9645538676445,31.6725840560309,33.7009875249791
"H3K27ac_A549_E1_IRpseudo2",22.1887425095436,22.3416667610644,17.8241710939181,20.675358805605,98.5217322352995,83.5385539029667,100,74.0753746644162,92.3979655410687,65.9499994336139,54.9813658967591,50.6711675483411,48.628779211364,57.17441294079,50.6281222034685,47.2071500583378,38.8144405804325,44.8974274742578,45.4128388404943,41.5195006739995,32.9500787276702,34.7897008348531
"H3K27ac_A549_E1_IRpseudo3",24.5731336012666,24.6413347947875,19.9293630495677,23.0032882718305,98.8844233345512,89.4202898550725,90.9365485324565,100,97.3121422482036,74.3880160759956,62.3663378394836,59.5749604189502,57.215929850201,66.0479844111558,58.1061990013397,54.5499939106077,45.0639386189258,52.2506393861893,51.8292534405066,47.0953598830837,37.9831932773109,40.7380343441725
"H3K27ac_A549_E1_IR123",20.3396868079722,20.4395365390699,16.2844036697248,18.913120847833,97.2961483707687,76.7814773805758,80.2495254666245,69.2838500474533,100,60.4387456501107,50.7760597912053,46.0485210376463,43.8498497310978,52.0642201834862,46.2571180006327,43.026336602341,35.334941474217,41.0599889275546,41.0787725403353,37.4713302752294,29.9064773805758,31.6009569756406
"H3K27ac_A549_E2_IRpseudo123",26.5105482351335,26.6074964156483,21.618078787465,24.9143169249676,93.5754762067318,85.7281354543593,89.2633303748208,82.7049907830955,91.4931385266607,100,74.4794155799822,64.6562435993719,62.7609749436745,73.2900935345122,62.5657131153137,58.1456953642384,48.5246125486448,55.9909879156141,57.0410322933024,51.5586809585581,40.928517785212,44.0868437222639
"H3K27ac_A549_E2_IRpseudo1",29.6702965219752,29.6340985188984,24.5693945883985,28.0564688847999,88.6262857832343,82.4424602576091,84.7636572049109,80.620494102742,86.6263461132394,88.4287050164399,100,68.9556876112335,66.5424874061114,78.7955114476185,65.6767518325239,62.7054990799674,52.8792494947362,59.9785828481795,63.9060661820156,57.7478809085699,46.9488099906488,51.131187596151
"H3K27ac_A549_E2_IRpseudo2",34.3241358701066,34.4795298336488,28.7618288674171,32.497260683335,98.559617491782,94.5373045124016,97.3065046319355,94.3599960155394,97.9699173224425,96.8721984261381,83.3190556828369,100,80.7948998904273,92.5112062954477,77.0993126805459,73.6308397250722,63.5501543978484,70.5468672178504,71.8876382109772,66.3074011355713,53.6268552644686,57.2626755652954
"H3K27ac_A549_E2_IRpseudo3",33.6756826903469,33.7220296249606,28.0806807437756,31.8885448916409,99.0174449861886,95.9381546504514,97.6993381657737,94.6571253777275,98.3834189206726,97.059750468104,81.7819469420293,82.3863109693925,100,87.9442353682727,83.6488014682709,78.5302460095289,67.1863702934688,76.5354739437534,72.4235739048219,65.3399084184572,54.9656105745166,59.5632264882001
"H3K27ac_A549_E2_IR123",32.3811401229369,32.5675167111701,26.8973674306912,30.6123546173008,97.2867869751438,91.4840235838067,95.1864661923621,90.4284869446784,96.204369097328,96.1882403541155,81.9931542445476,79.4985752943496,72.5148294833426,100,70.8374401892439,67.4754932707299,56.8072256769592,64.0508234619451,66.8375118725471,61.912868945001,47.9597139836204,51.7696815469257
"H3K27ac_A549_E3_IRpseudo12",34.8149521925486,34.9653808110781,29.0347840422024,32.9067754698318,96.7173590504451,92.3755357731619,94.1600725354434,90.0552258489944,95.3037421694692,89.263930102209,78.5587701945269,76.3373722387075,81.3592152983844,81.8681998021761,100,87.8111605670953,69.7535443455325,80.8646554566436,75.267886580943,67.7608803165183,57.2020276953511,61.9003461918892
"H3K27ac_A549_E3_IRpseudo1",35.7784976715934,35.8230411014375,29.7550111358575,33.9218465276372,96.9852196800972,93.0836201660255,95.0192346628872,91.2492407369913,95.9060538570561,90.1943713302288,80.4434095970844,78.3863130188297,82.474185057704,83.8854019032193,94.1243166632922,100,68.3053249645677,80.8443004656813,78.1899169872444,70.7430653978538,58.3721401093339,63.87325369508
"H3K27ac_A549_E3_IRpseudo2",38.0767770970016,38.3587268882503,32.7034647291655,36.3173019573822,97.5844493845904,94.5724665184623,95.8846174700428,93.3687577942851,96.7196226210486,93.9868784904842,85.1867917367023,83.8149975600499,89.7332321205878,88.1852193244049,97.3919644309494,88.8521390229355,100,94.5046901263352,83.1534999728894,74.2964810497208,73.3882773952177,76.2592853657214
