"","H3K36me3_K562_E1_IRpseudo12","H3K36me3_K562_E1_IRpseudo1","H3K36me3_K562_E1_IRpseudo2","H3K36me3_K562_E1_IR12","H3K36me3_K562_E2_IRpseudo12","H3K36me3_K562_E2_IRpseudo1","H3K36me3_K562_E2_IRpseudo2","H3K36me3_K562_E2_IR12","H3K36me3_A549_E1_IRpseudo12","H3K36me3_A549_E1_IRpseudo1","H3K36me3_A549_E1_IR12","H3K36me3_A549_E2_IRpseudo12","H3K36me3_A549_E2_IRpseudo1","H3K36me3_A549_E2_IR12"
"H3K36me3_K562_E1_IRpseudo12",100,63.1363244176014,54.346419327006,79.3545081967213,50.4947691975841,48.467159188956,21.2926013805004,49.5092752372735,83.3908541846419,83.7440681622088,59.7969693701467,45.6697584124245,45.3637295081967,38.4760569456428
"H3K36me3_K562_E1_IRpseudo1",63.4667039731393,100,37.041130386122,60.4546726357023,43.241466144376,41.9166200335758,18.4736989367655,42.9980414101847,77.76440962507,77.9686625629547,54.8349188584219,41.0870173475098,40.9597090095131,34.7677672076105
"H3K36me3_K562_E1_IRpseudo2",74.9417801086771,49.8191870041843,100,69.0402711248272,50.4061192419108,48.914175360206,21.9436923717742,49.4708143211466,81.2465683397391,81.5229944904103,58.1157581839181,45.5289016793835,45.4474884980215,38.3266751235398
"H3K36me3_K562_E1_IR12",79.1719907998978,59.9109580749728,50.0141229639394,100,50.6624342609655,48.6031716141875,21.4265538622944,49.5527728085868,83.433090777032,83.7142050116346,59.8006644518272,45.5768221986092,45.4450078685085,38.5651068637605
"H3K36me3_K562_E2_IRpseudo12",33.2246745651844,29.5512140180641,25.7792024951807,33.3113127856354,100,68.5059238883233,39.6640603002014,73.0078624185059,78.4119214191341,78.0902770257099,57.2938551842145,45.720071909723,45.5348827135091,37.8858108254456
"H3K36me3_K562_E2_IRpseudo1",33.712839293408,30.0172339508832,26.1471348556657,33.7645411460577,72.4084446359328,100,27.8414476518742,63.3078414476519,77.132701421801,77.0142180094787,55.1227919000431,43.6557518311073,43.9401120206807,36.1234381732012
"H3K36me3_K562_E2_IRpseudo2",27.7196211511178,24.3164998657924,21.6112581003873,27.8902565282411,77.6966141339775,51.1618543655815,100,75.9423290770352,78.6763296138656,77.7349591625446,61.5035085701139,48.1134245945013,47.5497526745657,40.8144484067641
"H3K36me3_K562_E2_IR12",31.1353675508381,28.0830027210602,24.1364268948757,31.1384832685956,70.0143323016846,56.8130361630974,37.015765531853,100,78.590864715535,78.2304800282492,57.3780196497933,45.4188563238685,45.1114388384604,37.6949920029911
"H3K36me3_A549_E1_IRpseudo12",21.8496166540477,22.0966046501371,18.1734649622535,21.8672586537684,31.4542153353083,30.5272752666515,19.1672976131845,32.9545203948868,100,94.5758201692162,42.3944604120877,37.9178029829681,38.2353589779402,30.497136850462
"H3K36me3_A549_E1_IRpseudo1",21.2928194770161,21.4080440293348,17.5561550244683,21.3084086811533,30.7073431929401,29.6303325245022,18.3613713077309,32.1490056798926,93.7446623920617,100,43.5101465385189,37.3605444021201,37.5550705580935,29.9177161138147
"H3K36me3_A549_E1_IR12",28.4958938013275,28.8912460022821,24.4025521109558,28.5392861160664,42.2705430467833,39.8743229995339,28.9555309130064,44.1669479131511,92.6875914051074,89.444417659065,100,57.4466033460296,56.6430419619755,48.5784999116082
"H3K36me3_A549_E2_IRpseudo12",27.2111819583739,25.6362582437413,21.635514529765,27.2363369899271,41.3111239924316,37.7412969059311,23.4773003182658,42.6366847855807,97.0929533100741,96.5876652849628,77.668894162939,100,78.1501208535212,62.4971290453119
"H3K36me3_A549_E2_IRpseudo1",27.4549536583962,26.0675839042082,22.0977491221001,27.5332450636118,41.4748719129584,38.2971619365609,23.650912440274,42.7597720338495,96.3778711645846,95.9426630591215,75.363536929365,78.6022681480629,100,54.8661562374072
"H3K36me3_A549_E2_IR12",29.2414642731433,27.8540420039892,23.3793851930072,29.3103954006805,43.3400797841136,39.6588642496773,25.5235832453362,44.8418983925848,97.2295553208964,96.645840666432,79.6359849818139,83.8070515076851,70.3640150181861,100
