"","H3K4me1_K562_E1_IRpseudo12","H3K4me1_K562_E1_IRpseudo1","H3K4me1_K562_E1_IRpseudo2","H3K4me1_K562_E1_IR12","H3K4me1_K562_E2_IRpseudo123","H3K4me1_K562_E2_IRpseudo1","H3K4me1_K562_E2_IRpseudo2","H3K4me1_K562_E2_IRpseudo3","H3K4me1_K562_E2_IR123","H3K4me1_A549_E1_IRpseudo123","H3K4me1_A549_E1_IRpseudo1","H3K4me1_A549_E1_IRpseudo2","H3K4me1_A549_E1_IRpseudo3","H3K4me1_A549_E1_IR123","H3K4me1_A549_E2_IRpseudo12","H3K4me1_A549_E2_IRpseudo1","H3K4me1_A549_E2_IRpseudo2","H3K4me1_A549_E2_IR12","H3K4me1_A549_E3_IRpseudo12","H3K4me1_A549_E3_IRpseudo1","H3K4me1_A549_E3_IRpseudo2","H3K4me1_A549_E3_IR12"
"H3K4me1_K562_E1_IRpseudo12",100,58.5063012921637,71.7673750819788,70.4424198379921,40.2839569633267,43.6650300441356,35.3935870393676,14.7898683021075,40.9389013949696,31.2069057199071,22.4657461403478,27.9640888384707,17.8049169576546,29.6444334154599,38.062108938795,37.5666908910435,10.5278550791428,24.39778790081,26.8394278320364,28.0704397610649,11.1287377918003,22.8982398922311
"H3K4me1_K562_E1_IRpseudo1",64.1641836763109,100,45.8097797332294,61.0613739522709,41.48937651416,44.5977555623625,35.7084180334716,14.1189329174905,42.1465567653365,30.1202974019103,21.7301105510846,27.5966973907716,17.2697780624321,28.7906212581103,37.1641001364484,36.4547074712484,10.2294561554955,24.5509732393974,25.7163543204032,26.908189691181,10.5267188326697,22.1854028013701
"H3K4me1_K562_E1_IRpseudo2",94.1026428284641,53.7422356581092,100,74.4172315249994,34.8645520889918,38.3528967194917,30.1740629649748,13.8612692189603,35.1585933256182,30.3901655605678,21.4602867197279,27.1698826196831,17.2752178739283,28.7251127748518,37.8368484447698,37.5156467726317,10.0351904773151,23.6083229021516,26.0468576557002,27.1379986301693,10.9787203892209,22.4215299591413
"H3K4me1_K562_E1_IR12",85.7486541594295,66.6803318481439,67.9177499919088,100,45.1253061180456,48.9454435610024,39.8066736431014,16.6571370006365,45.9290345549286,34.5592439558543,24.8389846050942,30.9030886906239,19.7803501882559,32.8341945993764,41.6126352583259,41.1142157444467,11.6351828077633,26.7884306258294,29.6451727746432,30.9818432891373,12.223145221322,25.2974874046584
"H3K4me1_K562_E2_IRpseudo123",45.6915802606334,45.9463426396737,32.1923193860541,43.109359110114,100,78.7718985563465,66.212008429175,29.6509860247633,81.1685520480589,42.0169212543116,32.602245683193,37.408133524842,24.5442059905853,40.3981841627963,46.7095813719426,45.7890819118711,15.971399515637,32.9492676892109,37.052724280008,38.8203348605097,14.6892003816194,30.4100311376241
"H3K4me1_K562_E2_IRpseudo1",42.5352930559588,41.8306090259195,30.1946905432659,40.1151977902113,68.2178085739173,100,56.6846892092315,21.0290897962066,71.6611866627953,37.2988158483281,28.5561824645108,33.488970674786,21.3257162587399,35.8588434706866,43.0665526198081,42.081721375154,13.6565881679,30.0306827901721,32.9349540542874,34.7406087905017,12.7188404887274,27.2347037266642
"H3K4me1_K562_E2_IRpseudo2",47.440937270419,47.6342686274763,33.0944617010582,44.9559848943766,80.4387332929486,78.3352881281658,100,27.678605952028,85.9692989804993,41.5262866201812,32.6265998169796,36.9456223336384,24.2746851921069,39.9963911480016,46.3943701908825,45.483135061286,15.9820588500651,32.9140191011381,37.0165104978927,38.8080477399564,14.8787812391251,30.4625774936523
"H3K4me1_K562_E2_IRpseudo3",49.6572668112798,48.0260303687636,36.587129428778,46.9877078814172,93.8365871294288,74.1084598698481,68.8966015907448,100,78.8575560375994,43.0397686189443,35.2653651482285,39.7483731019523,28.3817787418655,41.7845263919017,47.5632682574114,46.4931308749096,19.8698481561822,36.590021691974,38.7274041937816,40.1966738973247,18.1952277657267,33.648590021692
"H3K4me1_K562_E2_IR123",45.1865295422464,45.3347449082476,31.414599717685,42.6961080863077,78.0611010284332,81.3208308126638,70.1119177253479,23.0348860657391,100,41.1242185924582,31.7231296632386,36.4902198023795,23.5329703569268,39.5281306715064,46.2119378907038,45.2561000201654,15.1966122202057,32.1738253680177,36.3581367211131,38.1558782012503,13.9766081871345,29.7368421052632
"H3K4me1_A549_E1_IRpseudo123",24.5016972056434,23.4174160647351,19.2982738372935,22.9605379578836,26.9895915445376,28.2379627097376,22.6146619262882,10.0263831019449,27.0708321938193,100,66.1379321439488,73.9716220781519,46.2581039558566,86.582423062692,85.7732340213317,84.0165055259729,30.8440983896655,61.6407393703448,69.9425684914979,73.2484998632583,26.2841653126558,55.7334984958415
"H3K4me1_A549_E1_IRpseudo1",23.1722029244753,22.4743640410175,17.7558915905735,21.7037252740396,28.4387544979928,29.3497930403311,23.9740416415334,11.0125423799322,28.3929945712087,97.3022443164091,100,85.9922624123801,60.8565426295318,95.2638475778439,92.5005719990848,91.1548141522974,41.3804937912099,74.8476402437756,81.654429352913,84.2741851613037,34.7952243276411,68.1063710298064
"H3K4me1_A549_E1_IRpseudo2",27.935185817346,27.4128945631642,22.0488837304567,26.243144216108,31.2669261054596,32.5891536378325,26.2932113515851,12.3950296989145,31.171343392276,97.3191324730889,78.1912109419449,100,59.7335062925286,94.765708563756,91.7218543046358,90.6431351129924,39.6133451673835,70.5298013245033,80.1370018888965,82.5561548439954,34.3927084044514,66.3787806376732
"H3K4me1_A549_E1_IRpseudo3",24.5059394524442,23.7269728903548,18.809159895959,22.9587322017537,29.5189445740487,29.9654090580002,24.4965543131419,11.9566674711072,29.1354945968412,99.2290778430268,89.2982597270265,93.9144075295632,100,97.2126136272223,96.4604617488537,95.739146756764,51.9668570509211,84.1149813637948,89.1574826374923,90.6617863942295,44.1905987718875,78.6367414796342
"H3K4me1_A549_E1_IR123",24.7224070895653,23.894882482749,19.3745840484781,23.193456863638,27.8836386563452,29.0850817892045,23.3966163438299,10.4933622893972,27.9449367753687,94.2598689971628,70.0725069179306,77.90728221654,48.9745700374794,100,87.5372167151214,85.9495954324145,33.024799467582,64.2623209219237,72.9193667028617,76.0315597744229,28.1804966899016,58.518687169428
"H3K4me1_A549_E2_IRpseudo12",27.2205224396919,25.9605479620547,22.0291815931489,25.3071139742624,27.1659414830645,29.423748097354,22.8079211574238,10.1689703417844,27.4949647145647,75.7045555880137,57.8304454113559,63.2747036484679,41.7382881567012,72.1321935394597,100,92.7799388078289,27.6687012807306,55.4373395243001,66.9323964883689,70.4140465244999,23.7826909180363,51.9357020956012
"H3K4me1_A549_E2_IRpseudo1",26.4165268699022,24.9515531902586,21.3513044484295,24.5451784578007,26.284202001504,28.3688609938104,22.0006363163071,9.6864696014346,26.5886215074912,75.2863423381732,57.7623358593163,63.5896916758258,41.7112570139411,71.8834962688726,94.1892751778793,100,27.6392665008388,56.2886851391219,66.8204431075375,70.315121189333,23.4533175218372,51.8315786429109
