"","H3K4me3_K562_E1_IRpseudo12","H3K4me3_K562_E1_IRpseudo1","H3K4me3_K562_E1_IRpseudo2","H3K4me3_K562_E1_IR12","H3K4me3_K562_E2_IRpseudo12","H3K4me3_K562_E2_IRpseudo1","H3K4me3_K562_E2_IRpseudo2","H3K4me3_K562_E2_IR12","H3K4me3_K562_E3_IRpseudo12","H3K4me3_K562_E3_IRpseudo1","H3K4me3_K562_E3_IRpseudo2","H3K4me3_K562_E3_IR12","H3K4me3_K562_E4_IRpseudo12","H3K4me3_K562_E4_IRpseudo1","H3K4me3_K562_E4_IRpseudo2","H3K4me3_K562_E4_IR12","H3K4me3_A549_E1_IRpseudo123","H3K4me3_A549_E1_IRpseudo1","H3K4me3_A549_E1_IRpseudo2","H3K4me3_A549_E1_IRpseudo3","H3K4me3_A549_E1_IR123","H3K4me3_A549_E2_IRpseudo12","H3K4me3_A549_E2_IRpseudo1","H3K4me3_A549_E2_IRpseudo2","H3K4me3_A549_E2_IR12","H3K4me3_A549_E3_IRpseudo12","H3K4me3_A549_E3_IRpseudo1","H3K4me3_A549_E3_IRpseudo2","H3K4me3_A549_E3_IR12","H3K4me3_A549_E4_IRpseudo123","H3K4me3_A549_E4_IRpseudo1","H3K4me3_A549_E4_IRpseudo2","H3K4me3_A549_E4_IRpseudo3","H3K4me3_A549_E4_IR123"
"H3K4me3_K562_E1_IRpseudo12",100,82.932942400454,90.9770169299158,90.8256880733945,86.3047384848198,77.239194173839,84.5077083136291,83.5382578265393,89.5062896055992,87.2174406507141,86.2716352974558,89.6434313818216,94.6420126737917,90.5561335477159,90.6743592168732,93.9752198997446,75.3192093067247,73.9383334909676,73.441785680507,72.1980516409723,74.7801002553674,75.470538163246,74.9739903527854,73.8437529556417,75.4658091364797,77.7168258772345,77.0263879693559,73.7870046344462,77.0689492102525,75.0354677007472,71.5549040007567,73.2100633689587,73.3235600113497,74.0518301333585
"H3K4me3_K562_E1_IRpseudo1",98.5613744566342,100,93.5520596149865,97.117574001242,92.8120471951977,86.048437176568,91.7046160215276,90.716207824467,93.4796108466156,92.2997309045746,91.5752432208652,93.5468847029601,95.8083212585386,93.2984889256883,92.7188987787208,95.2753053198096,81.3133926723246,80.3560339474229,80.190436762575,79.010556820534,81.0028979507348,81.411716000828,81.0908714551853,80.180086938522,81.4272407369075,82.9848892568826,82.4673980542331,79.8902918650383,82.4363485820741,81.1167460153177,78.2343200165597,79.8023183605879,79.9523908093562,80.4595321879528
"H3K4me3_K562_E1_IRpseudo2",95.5545796125506,83.0137119992192,100,90.3284048211584,87.1077929048944,79.2319328551213,85.4389303664666,84.7704094080906,90.8651734738691,88.8010540184453,87.9471038891329,90.8602937588445,95.808324793832,91.426340701703,92.9585712194408,95.2617967110721,76.5480895915678,75.3476796955058,74.8011516127458,73.7080954472259,76.0357195139804,76.6115258868882,76.2894646952618,75.1768896696433,76.6700824671839,79.0318645391109,78.417020446006,75.3867174157029,78.5487727516713,76.2260283999414,73.0834919240716,74.7279558873762,74.6547601620065,75.2988825452594
"H3K4me3_K562_E1_IR12",97.4577561272644,87.4866798599483,91.5004820622114,100,90.0390724108185,81.4989597604912,88.4711016390115,87.3598213832648,91.5157050794134,89.714314710509,88.8821231034658,91.5715228091541,95.3163850408484,91.9673212564064,91.901354848531,94.7582077434414,78.5456944233014,77.3227787080733,76.9066829045517,75.8207743441417,78.1143756025778,78.6116608311767,78.2310854011265,77.0893591109758,78.6319581874461,80.4231998782159,79.8244278682701,76.8711625310803,79.7838331557315,78.3376465215406,75.1966306388593,76.6275942558482,76.9371289389557,77.4344141675547
"H3K4me3_K562_E2_IRpseudo12",91.4144907487463,82.1459450112398,88.3494725920802,89.460487636175,100,80.7582569600553,90.5801487117413,90.0959709493343,89.9792495244683,87.8047726093723,87.1649662804773,90.1824312640498,93.1826041846792,88.8812035275808,88.8639114646377,92.6119661075566,74.8270793705689,73.1497492650873,73.0676119661076,71.0098564758776,74.3385785924261,74.5806674736296,74.1570119315234,73.0762579975791,74.5374373162718,77.5203181739582,76.7508213729898,73.0157357772782,76.8934808922704,74.165657962995,70.0631160297423,72.9163064153554,72.1511326301228,73.3875151305551
"H3K4me3_K562_E2_IRpseudo1",92.277684191861,86.6876496143275,90.6463338948488,91.2846883588971,94.1040872417768,100,90.3049915772675,93.4745988119514,90.548807518397,89.396223069421,88.8908591187162,90.5665395868428,92.3530454827556,88.9529213582764,89.6400390105506,91.8432485149393,78.1585246919053,76.9261459349233,76.9039808493661,75.2548984839081,77.8437804769926,78.0211011614505,77.6043975529746,76.9350119691462,77.9900700416704,80.0159588616012,79.4396666371132,76.6114017200106,79.6435854242397,77.6043975529746,74.2929337707244,76.8020214558028,75.968614238851,77.0414043798209
"H3K4me3_K562_E2_IRpseudo2",93.6679363656733,85.57472552095,90.737172305624,91.8574949585481,97.5532153260139,83.4774815146762,100,91.8978265740533,92.1398162670849,90.3293748599597,89.822989020838,92.1711853013668,93.8740757338113,90.1456419448801,90.0649787138696,93.260138920009,77.5576966166256,75.9175442527448,76.0295765180372,74.0309209052207,77.1543804615729,77.2753753080887,76.8810217342595,75.8368810217343,77.2798565987004,79.7445664351333,79.0589289715438,75.6755545597132,79.1799238180596,77.0154604526104,73.0495182612592,75.8055119874524,75.1422809769214,76.2581223392337
"H3K4me3_K562_E2_IR12",92.1583958055466,83.760290668261,89.5230648944488,90.3785126247528,95.8515384261601,85.0342639010256,90.1991445522697,100,90.9442119302764,88.9849606769995,88.3226785632157,91.0545922825737,93.961274893069,90.0059789357494,90.1071609253553,93.3357862300511,76.1394471784022,74.5343328887458,74.4837418939429,72.6072759048889,75.6611323184473,76.0520627328336,75.6105413236444,74.7274985052661,76.029066826105,78.6092075610541,77.9193303591961,74.49753943798,78.052706618222,75.4817642459642,71.6368486409419,74.2445844639654,73.6144966196017,74.7183001425746
"H3K4me3_K562_E3_IRpseudo12",81.4378554021121,69.7772813430815,79.1632818846466,78.4761711345789,74.4245870565936,65.5293799079339,72.0383157324668,72.2109396154888,100,87.7775521256431,86.0953154616843,95.3899268887084,88.9114541023558,82.8019225561874,84.0136745193609,88.2243433522881,69.7908204711617,67.7328730029786,67.7937990793393,65.3466016788519,69.1680205794747,69.4997292174384,68.8295423774709,67.6719469266179,69.5132683455186,73.2602220417005,72.3666395884105,67.9731925264013,72.5528025995126,69.107094503114,63.9757649607365,67.5636339019767,66.5380449499052,68.0679664229624
"H3K4me3_K562_E3_IRpseudo1",85.4593673044137,75.3817010797499,83.3339647660542,82.8414472437962,79.6211403674939,71.1157416177306,77.6207615078613,77.4275430952832,96.7531729494222,100,88.9903390793711,95.7150975563554,90.2974048115173,85.3191892403864,86.1375260465997,89.660920628907,73.6351581738966,71.8052661488918,71.8848266717181,69.7101723811328,73.1123318810381,73.3472248531919,72.7486266338322,71.6612994885395,73.3472248531919,76.3553703352908,75.6052282629286,71.7029740481152,75.7795036938814,73.0933888994128,68.5053987497632,71.6499336995643,70.8997916272021,72.1121424512218
