"","H3K4me1_K562_E1_IRpseudo12","H3K4me1_K562_E1_IR12","H3K4me1_K562_E2_IRpseudo123","H3K4me1_K562_E2_IR123","H3K4me1_A549_E1_IRpseudo123","H3K4me1_A549_E1_IR123","H3K4me1_A549_E2_IRpseudo12","H3K4me1_A549_E2_IR12","H3K4me1_A549_E3_IRpseudo12","H3K4me1_A549_E3_IR12","H3K4me3_K562_E1_IRpseudo12","H3K4me3_K562_E1_IR12","H3K4me3_K562_E2_IRpseudo12","H3K4me3_K562_E2_IR12","H3K4me3_K562_E3_IRpseudo12","H3K4me3_K562_E3_IR12","H3K4me3_K562_E4_IRpseudo12","H3K4me3_K562_E4_IR12","H3K4me3_A549_E1_IRpseudo123","H3K4me3_A549_E1_IR123","H3K4me3_A549_E2_IRpseudo12","H3K4me3_A549_E2_IR12","H3K4me3_A549_E3_IRpseudo12","H3K4me3_A549_E3_IR12","H3K4me3_A549_E4_IRpseudo123","H3K4me3_A549_E4_IR123","H3K9ac_K562_E1_IRpseudo12","H3K9ac_K562_E1_IR12","H3K9ac_K562_E2_IRpseudo12","H3K9ac_K562_E2_IR12","H3K9ac_A549_E1_IRpseudo12","H3K9ac_A549_E1_IR12","H3K27me3_K562_E1_IRpseudo12","H3K27me3_K562_E1_IR12","H3K27me3_K562_E2_IRpseudo123","H3K27me3_K562_E2_IR123","H3K27me3_A549_E1_IRpseudo12","H3K27me3_A549_E1_IR12","H3K27me3_A549_E2_IRpseudo12","H3K27me3_A549_E2_IR12","H3K27ac_K562_E1_IRpseudo12","H3K27ac_K562_E1_IR12","H3K27ac_A549_E1_IRpseudo123","H3K27ac_A549_E1_IR123","H3K27ac_A549_E2_IRpseudo123","H3K27ac_A549_E2_IR123","H3K27ac_A549_E3_IRpseudo12","H3K27ac_A549_E3_IR12","H3K27ac_A549_E4_IRpseudo12","H3K27ac_A549_E4_IR12","H3K36me3_K562_E1_IRpseudo12","H3K36me3_K562_E1_IR12","H3K36me3_K562_E2_IRpseudo12","H3K36me3_K562_E2_IR12","H3K36me3_A549_E1_IRpseudo12","H3K36me3_A549_E1_IR12","H3K36me3_A549_E2_IRpseudo12","H3K36me3_A549_E2_IR12"
"H3K4me1_K562_E1_IRpseudo12",100,70.4424198379921,40.2839569633267,40.9389013949696,31.2069057199071,29.6444334154599,38.062108938795,24.39778790081,26.8394278320364,22.8982398922311,21.1425634117376,20.4628037648227,19.9000301327614,19.3310526968821,22.3416700639878,22.3966180406615,30.6893312299484,30.1930269245086,22.8521544924402,22.5268979208395,22.3407838062995,22.3434425793644,26.6391335944839,26.0347058510733,22.4382721520109,21.6734317670206,55.0897779038233,47.7949908715458,29.185351932928,27.7283442933867,28.3088430792137,26.8553804704256,16.6625307974547,16.4817342290444,8.78901749472677,4.35772905329954,4.52523175638549,4.30189481893755,6.93408015314533,5.51252282113547,30.678696137689,28.4329191555737,40.598578442668,37.7430561710123,29.5354237198008,28.0615771841821,25.2468227661875,22.8636758423879,26.8562667281139,20.9236577627311,8.73141074498821,8.81383270999876,7.99404434833472,7.58813832709999,19.9868833862134,9.83037027846217,6.49981388588546,5.37603913713951
"H3K4me1_K562_E1_IR12",85.7486541594295,100,45.1253061180456,45.9290345549286,34.5592439558543,32.8341945993764,41.6126352583259,26.7884306258294,29.6451727746432,25.2974874046584,22.0901254679426,21.3230772550246,20.7297206908828,20.0511365475279,23.5519402759647,23.6058817817958,32.8223274680936,32.2429956954678,23.4872104689675,23.1042257775668,22.9575048817063,22.9585837118229,27.6029473638786,26.9545704637891,23.0146828778872,22.182904857972,57.1089510534776,49.7351472063694,30.9893950999536,29.3355485311728,29.4542198440012,27.8791278737337,15.0313400148879,14.8479388950622,7.87330219110397,3.96362184846752,4.52892882957721,4.29698035450358,6.87969965369553,5.42112133602322,32.5957731436031,30.1856666630706,42.168232768386,39.2413666619917,30.606410408553,29.0690774923673,25.9588102661474,23.4214018318535,27.8251863679026,21.3263137453745,8.07504342291219,8.13437907932638,8.21097601760651,7.86035622970451,19.2819306743767,9.32432869795993,6.2518205258218,5.10933943231959
"H3K4me1_K562_E2_IRpseudo123",45.6915802606334,43.109359110114,100,81.1685520480589,42.0169212543116,40.3981841627963,46.7095813719426,32.9492676892109,37.052724280008,30.4100311376241,19.4122642399589,18.469748277995,15.7816382374218,15.2857427424174,19.9815480746045,20.0654204627659,36.0001258085822,34.9003491188157,17.3783588270447,16.8101233972511,17.5366679596993,17.5020705995827,24.8356625394462,24.0325844228007,16.8352851136995,15.9336569409643,38.7679146179089,28.1433798475619,34.8856714508875,33.3015317194888,26.5969826908359,24.4163005986392,3.56562490171205,3.41255779331747,1.81269198913853,0.853401549542371,3.9902288667792,3.60546428608872,6.04719918643783,4.41378442699433,38.2007275929673,34.4453414130401,38.952433871864,36.4100521057211,28.0846691758489,25.9165679418764,24.4970277722445,22.3561850644245,24.6794502164956,20.54558988499,5.25670192801652,5.29025088328109,11.461161842257,10.9411530356562,16.6193137141839,8.65038843399767,6.12163593093109,4.81846869987314
"H3K4me1_K562_E2_IR123",45.1865295422464,42.6961080863077,78.0611010284332,100,41.1242185924582,39.5281306715064,46.2119378907038,32.1738253680177,36.3581367211131,29.7368421052632,19.4988909054245,18.5753176043557,15.8217382536802,15.3377697116354,19.9516031457955,20.0191570881226,36.1716071788667,35.0736035491026,17.1677757612422,16.6293607582174,17.3845533373664,17.3472474289171,24.4948578342408,23.6832022585199,16.6374269005848,15.782415809639,38.3424077434967,27.6628352490421,34.9929421254285,33.5128050010083,26.2079048195201,24.0209719701553,2.63258721516435,2.51966122202057,1.25428513813269,0.577737447065941,3.74571486186731,3.38273845533374,5.6634402097197,4.11474087517645,38.6791691873362,34.8638838475499,37.8775962895745,35.4143980641258,27.2141560798548,25.0857027626538,24.0996168582375,22.0498084291188,24.2962290784432,20.3196208913087,5.4547287759629,5.50816696914701,12.1879411171607,11.6515426497278,17.816091954023,9.30933655979028,6.62936075821738,5.20367009477717
"H3K4me1_A549_E1_IRpseudo123",24.5016972056434,22.9605379578836,26.9895915445376,27.0708321938193,100,86.582423062692,85.7732340213317,61.6407393703448,69.9425684914979,55.7334984958415,15.1099564035328,14.7343189459629,12.7974131690288,12.5086469007899,15.4678978780908,15.4928331268802,20.0181786007304,19.6731069319992,23.9241646691656,22.7538167017905,24.6939399301813,24.669809044256,38.6383745435241,37.2605009571918,23.5372661314972,21.8432779395441,22.7763388619874,18.9499847171056,18.8413957304419,18.1078167983141,39.9285725776612,35.4378147069706,11.5321503836811,10.916812792587,6.65851578964302,3.10966683290166,2.34713083766349,2.27634690561606,3.29949646884703,2.75011663261531,17.9750969257251,16.579527356381,67.6131336368463,62.6984765367352,49.811779089783,43.5900323353871,40.983092292595,37.2669358601052,38.3962613214073,31.48839304387,4.54625890831872,4.5438458197262,8.33159054712762,8.29137240391886,21.1394604333907,12.7700648316469,9.16330174868487,7.44518267080645
"H3K4me1_A549_E1_IR123",24.7224070895653,23.193456863638,27.8836386563452,27.9449367753687,94.2598689971628,100,87.5372167151214,64.2623209219237,72.9193667028617,58.518687169428,15.3744439384917,14.9856387264002,12.9916984833094,12.7053486987285,15.7124592805352,15.7431083400469,20.4131493222179,20.0856422291499,24.3712564363025,23.1163963711514,25.3152474692634,25.2968580335563,40.2273284528355,38.7552979088585,24.0087218466496,22.1881677116536,23.179445865004,19.2642474342359,19.3763354233073,18.6320011208799,41.6660828750569,36.9443763354233,11.5406844372833,10.9364601211951,6.70338715891975,3.14021506882903,2.21636484640443,2.15331535255175,3.06052751409857,2.55525587586255,18.5383025675155,17.1083050194403,69.2344740621388,64.446215278994,51.8249325720691,45.5129776874847,43.1486216680094,39.3787873480682,40.1485165855196,33.2612350695296,4.74009597534064,4.75848541104767,8.69645171459596,8.63077515849942,21.7354373182949,13.1615818417458,9.49245157448597,7.72181162212337
"H3K4me1_A549_E2_IRpseudo12",27.2205224396919,25.3071139742624,27.1659414830645,27.4949647145647,75.7045555880137,72.1321935394597,100,55.4373395243001,66.9323964883689,51.9357020956012,15.643978413616,15.218861948617,14.0103934441352,13.6821389585031,16.1928629633616,16.241293953045,20.4824649067511,20.1442167248351,23.6443166617979,22.5942098061223,24.2247197921311,24.1955074491475,35.8143324979628,34.4920896050184,23.2707061699543,21.7101520579327,25.7329991851294,21.6202087913777,18.9503543918451,18.1662336064944,36.6330468473732,32.5048815362617,12.8980181731523,12.2845589704955,7.71205854768531,3.7076613213204,2.64986700696484,2.56069248627789,3.74302363124798,3.06806475915192,18.4791131747667,16.9977398871481,64.7530019526145,59.442505496533,46.2070078873326,40.5920880675266,37.3433680293968,33.3036084931043,35.2531480143294,27.9823495948709,5.42734582801617,5.42734582801617,8.96203932903861,8.97203302532249,22.3851109300288,13.2208914377085,10.0897895173813,8.23403699205117
"H3K4me1_A549_E2_IR12",26.0606381010283,24.4098754989294,30.2172821231265,30.1697020961645,87.9199598213106,85.6480135338743,95.3107240094103,100,81.3235177499934,67.3931431894478,15.1608469244799,14.6652216436256,13.3501625650921,13.0686474055669,15.7265205783617,15.7886389468954,20.8426951441939,20.440908249848,25.0138775078639,23.3829399169993,26.2721048875261,26.2496365414607,43.7789114747165,42.0237371467844,24.5856572652058,22.2687742856388,25.2094842853744,20.9008485104808,19.9862546588776,19.1932542095107,46.4896513441358,40.6227696862362,12.2756469561999,11.5923449023288,7.69342602627475,3.7469271232587,1.39568079088578,1.34942243133938,2.01422114139198,1.6150775818773,19.8157595622638,18.1557452882557,74.3556871348894,69.9320662948376,58.3093230419497,51.5622108852528,50.1176283999894,45.6979725621845,44.9208321218049,37.8485897808675,5.32896301974571,5.34614469614866,9.30586027332082,9.30189527107399,23.8574185192038,14.3612381380349,11.0835029473183,9.10761016097909
"H3K4me1_A549_E3_IRpseudo12",23.4453710723612,21.8321961081627,27.0853340072445,27.2226434167298,85.0619155926207,82.5574930502906,92.7377642995535,70.3706511667088,100,66.7062589503833,12.7588240249347,12.3342599612501,10.5719821413529,10.3327436610227,13.0123831185241,13.0553449583017,17.945413191812,17.6059304186673,20.6503243197709,19.3395670120462,21.5087187263078,21.4691264425912,36.862100918204,35.3735995282621,20.068233510235,18.2326678460113,21.9754022407548,17.8359026198298,17.3144638193918,16.6388678291635,40.5829331985511,35.3618060820487,10.6250526493135,10.0876084575857,6.18987448403673,2.85822592873389,1.38236037402072,1.34782242439559,1.89537528430629,1.5120882823688,16.9547637098812,15.4350939263752,70.3041024345043,65.6616965714767,52.2820318423048,45.6499031252633,44.0999073372083,39.9595653272681,39.1592957627833,32.7049111279589,4.63819391795131,4.60112880128043,8.29837418920057,8.16022239070003,23.1353719147502,13.8674079690001,10.2746188189706,8.30342852329206
"H3K4me1_A549_E3_IR12",26.2728201793097,24.5017884517118,29.1018256143448,29.1540855669624,87.7595577646676,85.6110930459423,93.9227481767083,74.7050216007804,91.9624192874065,100,12.6910391601245,12.2114089283226,10.716774283458,10.4636038463325,13.0916987968598,13.1509267431598,18.3629860175593,17.9727783713476,21.9770520741395,20.3395735587866,23.0234124587727,22.9746365029962,41.6163422678497,39.8197612300832,21.2593487248572,18.9529428159985,24.2718446601942,19.7937473870024,17.8659358015515,17.1064244901751,46.2488967343336,40.0311237051145,11.8362986017559,11.2138244994658,6.95754169182887,3.25521438193896,1.42960003716263,1.39127607190969,1.92548892089004,1.54689459748223,17.968133042226,16.252845264087,75.3693036651647,70.9957262972082,57.8958981743856,51.0962976726901,50.3855623170902,46.0154689459748,45.2257629953082,38.228736005946,5.10057137548195,5.08663538811725,8.50908161843267,8.35926975426209,24.1533887675942,14.3935522831793,10.9978166953129,8.91903191341107
"H3K4me3_K562_E1_IRpseudo12",77.4803745389199,71.8244585264353,63.5344746051263,64.4140735836565,63.9742740943914,61.5151801759198,68.6512815662537,45.8526435259624,53.6839118509411,42.8118793152369,100,90.8256880733945,86.3047384848198,83.5382578265393,89.5062896055992,89.6434313818216,94.6420126737917,93.9752198997446,75.3192093067247,74.7801002553674,75.470538163246,75.4658091364797,77.7168258772345,77.0689492102525,75.0354677007472,74.0518301333585,87.6950723541095,81.9776789936631,83.6517544689303,80.2468551972004,74.8179324694978,73.5647403764305,7.7839780573158,7.72250070935401,4.01967275134777,2.17535231249409,6.04842523408683,5.85453513666887,9.00406696301901,7.26851413979003,76.071124562565,74.6476875059113,78.634257069895,77.3337747091648,73.0918376998014,72.3020902298307,65.4733755793058,58.7676156247044,72.7655348529273,54.5871559633027,6.83344367729121,6.93275323938334,14.8160408587913,14.2249125130048,19.3842807150288,11.0564645795895,8.07244869005959,6.66792774047101
"H3K4me3_K562_E1_IR12",78.8603034454762,73.0248135180393,63.2008930836758,64.1548688283351,65.4285279342366,62.901507078703,69.9903587557721,46.5672096209469,54.7013751458872,43.476937128939,97.4577561272644,100,90.0390724108185,87.3598213832648,91.5157050794134,91.5715228091541,95.3163850408484,94.7582077434414,78.5456944233014,78.1143756025778,78.6116608311767,78.6319581874461,80.4231998782159,79.7838331557315,78.3376465215406,77.4344141675547,89.6990916933069,84.964733343482,84.6450499822398,81.1539047039123,77.4851575582281,76.3282082508753,7.92611762317958,7.85507687623687,4.11021464454255,2.22256051149338,6.12472725427513,5.91667935251433,9.08814126959964,7.33241995230121,76.9016085654844,75.5721317298422,81.0118232100269,79.8396508854722,75.871517734815,75.1814076216573,68.2498604556756,61.3233876287614,75.5924290861115,56.8123001978992,6.90110113157761,7.04318262546303,15.1012330643934,14.492312376313,19.5717257827168,11.3005531029583,8.27117267975846,6.79454001116355
"H3K4me3_K562_E2_IRpseudo12",75.5965761715373,69.3800795434895,53.9296213038215,55.2913712605914,57.997579111188,55.3821545910427,65.0484177762407,41.8684074010029,46.9436278748055,36.8320940688224,91.4144907487463,89.460487636175,100,90.0959709493343,89.9792495244683,90.1824312640498,93.1826041846792,92.6119661075566,74.8270793705689,74.3385785924261,74.5806674736296,74.5374373162718,77.5203181739582,76.8934808922704,74.165657962995,73.3875151305551,89.3869963686668,82.5652775376102,82.2799584990489,79.0160816185371,74.5504063634792,73.5172056026284,7.00760850769497,6.92979422445098,3.20335466021096,1.61248486944492,5.11412761542452,4.95849904893654,7.86356562337887,6.40670932042193,74.2650873249179,72.8860453052049,77.2436451668684,75.8213729897977,70.6207850596576,69.855611274425,63.8768805118451,57.4831402386305,71.6842469306588,54.271139546948,6.25108075393394,6.43264741483659,12.6145599169981,11.9488154936884,17.3266470689953,10.0985647587757,7.17620612139028,5.96143869963687
