PeakN Before Tidy	Blacklisted Peaks Removed (%)	Non-standard Peaks Removed (%)	PeakN After Tidy
86202	0.102	0.377	85789
80201	0.0985	0.404	79798
74447	0.126	0.373	74075
72356	0.131	0.417	71959
70543	0.108	0.383	70197
66915	0.115	0.384	66581
66596	0.119	0.383	66262
64614	0.118	0.396	64282
65089	0.131	0.401	64743
63056	0.147	0.442	62684
71682	0.151	0.632	71121
99997	0.077	0.426	99494
115270	0.12	0.37	114706
110709	0.174	0.447	110021
60064	0.0999	0.526	59688
65526	0.192	0.491	65078
73765	0.21	0.493	73246
