Exp_Name,Peak_Number
H3K4me1_K562_E1,112834
H3K4me1_K562_E2,95383
H3K4me3_K562_E1,21146
H3K4me3_K562_E2,23132
H3K4me3_K562_E3,29544
H3K4me3_K562_E4,43357
H3K9ac_K562_E1,120499
H3K9ac_K562_E2,38252
H3K27ac_K562_E1,51343
H3K27me3_K562_E1,145139
H3K27me3_K562_E2,119855
H3K36me3_K562_E1,74176
H3K36me3_K562_E2,161791
H3K4me1_A549_E1,124322
H3K4me1_A549_E2,130082
H3K4me3_A549_E1,27884
H3K4me3_A549_E2,32532
H3K9ac_A549_E1,47957
H3K27ac_A549_E1,75735
H3K27ac_A549_E2,47542
H3K27me3_A549_E1,139963
H3K27me3_A549_E2,172278
H3K36me3_A549_E1,136039
H3K36me3_A549_E2,91433
