task_id	hash	native_id	name	status	exit	submit	start	complete	duration	realtime	cpus	time	memory	%cpu	peak_rss	peak_vmem	rchar	wchar
1	8c/441d92	5047506.pbs	NFCORE_CUTANDRUN:CUTANDRUN:PREPARE_GENOME:GET_SPIKEIN_CHROM_SIZES (genome.fa)	COMPLETED	0	2022-01-26 12:10:26.484	2022-01-26 12:10:56.571	2022-01-26 12:10:56.590	30.1s	0ms	2	4h	12 GB	35.1%	4.7 MB	11.7 MB	4.6 MB	4.7 KB
3	52/b105f3	5047503.pbs	NFCORE_CUTANDRUN:CUTANDRUN:INPUT_CHECK:SAMPLESHEET_CHECK (design.csv)	COMPLETED	0	2022-01-26 12:10:04.196	2022-01-26 12:10:56.417	2022-01-26 12:11:01.398	57.2s	1s	2	4h	12 GB	19.8%	2.7 MB	11 MB	705.7 KB	941 B
2	5c/d58439	5047504.pbs	NFCORE_CUTANDRUN:CUTANDRUN:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa)	COMPLETED	0	2022-01-26 12:10:25.211	2022-01-26 12:10:56.449	2022-01-26 12:11:21.438	56.2s	24s	2	4h	12 GB	92.0%	6.1 MB	11.9 MB	2.9 GB	16.7 KB
7	42/152bff	5047507.pbs	NFCORE_CUTANDRUN:CUTANDRUN:FASTQC_TRIMGALORE:FASTQC (S_1_R2)	COMPLETED	0	2022-01-26 12:11:01.819	2022-01-26 12:13:42.226	2022-01-26 12:17:51.412	6m 50s	4m 3s	6	3d	96 GB	190.9%	1.4 GB	4.7 GB	2.5 GB	4.7 MB
6	c6/602644	5047510.pbs	NFCORE_CUTANDRUN:CUTANDRUN:FASTQC_TRIMGALORE:FASTQC (S_1_R1)	COMPLETED	0	2022-01-26 12:11:02.443	2022-01-26 12:20:47.570	2022-01-26 12:21:27.562	10m 25s	40s	6	3d	96 GB	196.4%	1.4 GB	4.8 GB	523.9 MB	4.7 MB
4	41/8d579b	5047508.pbs	NFCORE_CUTANDRUN:CUTANDRUN:FASTQC_TRIMGALORE:TRIMGALORE (S_1_R1)	COMPLETED	0	2022-01-26 12:11:02.110	2022-01-26 12:16:01.406	2022-01-26 12:22:27.570	11m 25s	6m 26s	6	3d	96 GB	271.4%	1.1 GB	3.5 GB	15.6 GB	15 GB
9	7f/4b8b08	5047544.pbs	NFCORE_CUTANDRUN:CUTANDRUN:ALIGN_BOWTIE2:BOWTIE2_SPIKEIN_ALIGN (S_1_R1)	COMPLETED	0	2022-01-26 12:22:43.965	2022-01-26 12:23:22.791	2022-01-26 12:24:12.565	1m 29s	53s	32	3d	124 GB	3127.2%	435.5 MB	5.7 GB	2.4 GB	2.4 GB
10	48/8c7ea4	5047556.pbs	NFCORE_CUTANDRUN:CUTANDRUN:ANNOTATE_BT2_SPIKEIN_META:AWK_SCRIPT (S_1_R1)	COMPLETED	0	2022-01-26 12:24:12.887	2022-01-26 12:24:52.566	2022-01-26 12:24:57.580	44.7s	41ms	2	4h	12 GB	23.0%	0	0	132.4 KB	662 B
8	4f/f21358	5047545.pbs	NFCORE_CUTANDRUN:CUTANDRUN:ALIGN_BOWTIE2:BOWTIE2_ALIGN (S_1_R1)	COMPLETED	0	2022-01-26 12:22:44.114	2022-01-26 12:23:23.240	2022-01-26 12:26:57.570	4m 13s	3m 34s	32	3d	124 GB	3121.0%	4.1 GB	7 GB	6.1 GB	3 GB
11	d0/747739	5047557.pbs	NFCORE_CUTANDRUN:CUTANDRUN:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS_SPIKEIN:SAMTOOLS_SORT (S_1_R1)	COMPLETED	0	2022-01-26 12:24:12.967	2022-01-26 12:27:22.570	2022-01-26 12:27:42.573	3m 30s	18s	6	8h	36 GB	342.0%	2.2 GB	5.7 GB	463.9 MB	463.7 MB
13	c4/8b6e01	5047582.pbs	NFCORE_CUTANDRUN:CUTANDRUN:ANNOTATE_BT2_META:AWK_SCRIPT (S_1_R1)	COMPLETED	0	2022-01-26 12:26:57.961	2022-01-26 12:27:42.619	2022-01-26 12:27:47.579	49.6s	74ms	2	4h	12 GB	12.7%	0	0	109 KB	674 B
12	b3/020326	5047583.pbs	NFCORE_CUTANDRUN:CUTANDRUN:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (S_1_R1)	COMPLETED	0	2022-01-26 12:26:58.219	2022-01-26 12:27:42.648	2022-01-26 12:28:07.575	1m 9s	22s	6	8h	36 GB	360.1%	2.4 GB	5.7 GB	612 MB	518.2 MB
14	f1/7d9ec3	5047585.pbs	NFCORE_CUTANDRUN:CUTANDRUN:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS_SPIKEIN:SAMTOOLS_INDEX (S_1_R1)	COMPLETED	0	2022-01-26 12:27:42.821	2022-01-26 12:28:27.779	2022-01-26 12:28:37.571	54.8s	4s	2	4h	12 GB	94.6%	6.4 MB	11.8 MB	463.9 MB	4.7 KB
15	0d/03e79b	5047588.pbs	NFCORE_CUTANDRUN:CUTANDRUN:ALIGN_BOWTIE2:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (S_1_R1)	COMPLETED	0	2022-01-26 12:28:07.904	2022-01-26 12:29:12.578	2022-01-26 12:29:17.573	1m 10s	6s	2	4h	12 GB	92.0%	18.1 MB	25 MB	518.4 MB	3.2 MB
