Length,H3K27ac_Abcam_pA_Tn5_F10_P6_R1,H3K27ac_Abcam_pA_Tn5_F10_P9_R1,H3K27ac_Abcam_pA_Tn5_F6_P9_R1,H3K27ac_Abcam_pA_Tn5_F6_P9_R2,H3K27ac_Abcam_Tn5_F10_P7_R1,H3K27ac_Abcam_Tn5_F6_P7_R1,H3K27ac_Diagenode_pA_Tn5_F10_P9_R1,H3K27me3_Cell_Signaling_pA_Tn5_F10_P6_R1,H3K27me3_Cell_Signaling_pA_Tn5_F10_P9_R1,H3K27me3_Cell_Signaling_Tn5_F10_P7_R1,H3K27me3_Cell_Signaling_Tn5_F6_P7_R1
20,1471,931,38,1633,70,3897,688,35,805,3130,5057
21,1893,1225,56,1956,92,4597,814,59,1030,3650,6380
22,1604,1036,39,1907,77,4021,728,50,912,2888,5135
23,1665,1019,46,2034,71,4157,705,59,988,3059,5393
24,2310,1442,70,2539,119,5668,988,82,1338,4095,7266
25,1961,1249,60,2172,91,4411,769,67,1044,3407,5908
26,2181,1346,79,2674,109,4954,941,83,1275,3880,6699
27,2182,1287,70,2690,101,5105,980,99,1318,4085,6649
28,2312,1418,97,2811,123,5263,957,91,1308,4076,7067
29,2318,1423,92,3145,109,5472,1064,83,1469,4422,7230
30,2208,1396,71,2911,118,5284,980,85,1331,4259,6883
31,2459,1537,90,3103,122,5791,957,117,1437,4719,7222
32,2464,1518,87,3395,113,6167,1010,100,1616,5105,7839
33,2772,1701,108,3586,134,6413,1223,127,1730,5618,8182
34,2949,1716,97,3828,122,6718,1259,121,1669,5798,8396
35,2847,1769,100,3727,142,6452,1153,146,1718,5847,8301
36,2938,1835,119,3931,151,6792,1256,128,1808,6113,8594
37,3077,1947,118,3986,143,7042,1246,152,1884,6493,8983
38,3153,1981,160,4316,155,7360,1270,153,1941,6734,9157
39,3408,2098,137,4563,190,7693,1467,165,2150,7381,9524
40,3467,2142,165,4920,209,8036,1459,168,2264,7645,9950
41,3610,2231,176,5124,187,8037,1608,170,2255,7815,9995
42,3697,2315,175,5237,183,8234,1624,172,2384,8343,10493
