Category,Sample,histone_mark,antibody_company,sample,replicate,fragmentation_enzyme,fragmentation_time,PCR_cycles,Unique_Pairs,Duplicate_Pairs_Optical,Duplicate_Pairs_Nonoptical,Unmapped,FRiP,NRF,Duplication_rate
S_4_R1_Abcam_pA_Tn5_F10_P6,H3K27ac_Abcam_pA_Tn5_F10_P6_R1,H3K27ac,Abcam,S_4,R1,pA_Tn5,10 min,6,18586040,266930,2823612,1165536,,0.857424846777043,0.135300150362589
S_4_R1_Abcam_pA_Tn5_F10_P9,H3K27ac_Abcam_pA_Tn5_F10_P9_R1,H3K27ac,Abcam,S_4,R1,pA_Tn5,10 min,9,12714416,184914,1825088,828126,0.69709098179636,0.863491922057632,0.129239435040338
S_1_R1_Abcam_pA_Tn5_F6_P9,H3K27ac_Abcam_pA_Tn5_F6_P9_R1,H3K27ac,Abcam,S_1,R1,pA_Tn5,6 min,9,4966844,38006,410322,398520,0.490159130679506,0.917208908599764,0.0771158843640152
S_1_R2_Abcam_pA_Tn5_F6_P9,H3K27ac_Abcam_pA_Tn5_F6_P9_R2,H3K27ac,Abcam,S_1,R2,pA_Tn5,6 min,9,23548562,261448,4744172,2219672,0.694680484981149,0.824697482141145,0.162658209790688
S_11_R1_Abcam_Tn5_F10_P7,H3K27ac_Abcam_Tn5_F10_P7_R1,H3K27ac,Abcam,S_11,R1,Tn5,10 min,7,20382348,267160,2613758,2596298,,0.876160208974956,0.111406286664385
S_9_R1_Abcam_Tn5_F6_P7,H3K27ac_Abcam_Tn5_F6_P7_R1,H3K27ac,Abcam,S_9,R1,Tn5,6 min,7,16132256,282282,2992576,1100638,0.605164723131628,0.831254765649339,0.159688785001886
S_2_R1_Diagenode_pA_Tn5_F10_P9,H3K27ac_Diagenode_pA_Tn5_F10_P9_R1,H3K27ac,Diagenode,S_2,R1,pA_Tn5,10 min,9,7182666,112894,1895520,570660,0.574767274357312,0.781482263237835,0.205743443279579
S_5_R1_Cell_Signaling_pA_Tn5_F10_P6,H3K27me3_Cell_Signaling_pA_Tn5_F10_P6_R1,H3K27me3,Cell Signaling,S_5,R1,pA_Tn5,10 min,6,4591160,61944,607856,413350,0.379689638392993,0.872684833186339,0.118040783813362
S_3_R1_Cell_Signaling_pA_Tn5_F10_P9,H3K27me3_Cell_Signaling_pA_Tn5_F10_P9_R1,H3K27me3,Cell Signaling,S_3,R1,pA_Tn5,10 min,9,17258446,273812,2706898,936858,,0.852725578082406,0.140758784915801
S_10_R1_Cell_Signaling_Tn5_F10_P7,H3K27me3_Cell_Signaling_Tn5_F10_P7_R1,H3K27me3,Cell Signaling,S_10,R1,Tn5,10 min,7,16768314,169306,2419482,898898,0.58274430748983,0.86626159225694,0.127803515007899
S_8_R1_Cell_Signaling_Tn5_F6_P7,H3K27me3_Cell_Signaling_Tn5_F6_P7_R1,H3K27me3,Cell Signaling,S_8,R1,Tn5,6 min,7,17656042,292348,3077558,1574270,0.595754268254414,0.839726322922515,0.149109446643391
